1, OptIX-LA, Not an exchange, IPv4, Unicast, Unknown, 200.61.194.0/24, 0
332, NWAX, Active, IPv4, Unicast, None, 198.32.195.0/24, 77
333, Utah-REP, Unknown, IPv4, Unicast, Unknown, 198.32.164.0/24, 13
334, SAMAP, Unknown, IPv4, , Unknown, 198.32.206.0/24, 0
335, Equinix-SD, Planned, IPv4, Multicast, Unknown, 198.32.108.0/24, 0
335, Equinix-SD, Planned, IPv4, Unicast, Unknown, 198.32.109.0/24, 0
335, Equinix-SD, Planned, IPv4, Unicast, Unknown, 198.32.110.0/24, 0
336, SD-NAP, Active, IPv4, Unicast, Unknown, 198.17.46.0/24, 0
336, SD-NAP, Unknown, IPv4, Unicast, Available, 198.32.238.0/24, 21
337, Equinix-SF, Active, IPv4, Unicast, Unknown, , 0
338, PB-NAP, Defunct, IPv4, Unicast, Unknown, 198.32.128.0/24, 0
339, Equinix IBX San Jose, Active, IPv4, , Unknown, 206.223.116.0/24, 37
339, Equinix IBX San Jose, Defunct, IPv4, , Unknown, , 0
340, MAE-West-ATM, Defunct, IPv4, Unicast, Unknown, 198.32.200.0/24, 0
342, NIX, Defunct, IPv4, Unicast, Unknown, 198.32.154.0/24, 0
343, NWnet Gigapop, Unknown, IPv4, , Unknown, 198.32.40.0/24, 0
344, Equinix-Seattle, Active, IPv4, Multicast, Unknown, 198.32.133.0/24, 0
344, Equinix-Seattle, Active, IPv4, Unicast, Unknown, 198.32.134.0/24, 0
344, Equinix-Seattle, Active, IPv4, Unicast, Unknown, 198.32.135.0/24, 0
345, SIX, Defunct, IPv4, Unicast, None, 198.32.180/24, 0
345, SIX, Active, IPv4, Unicast, None, 206.81.80.0/23, 235
346, Pacific Wave, Active, IPv4, Unicast, Unknown, 198.32.170.0/24, 0
346, Pacific Wave, Active, IPv4, , Unknown, 198.32.171.0/24, 0
347, Equinix IBX Secaucus, Active, IPv4, Unicast, Unknown, 206.223.117.0/24, 0
348, EWIX, Unknown, IPv4, Unicast, Unknown, , 0
350, , Defunct, IPv4, , Unknown, 206.197.184.0/24, 20
351, StLouisNAP, Defunct, IPv4, Unicast, Unknown, , 0
352, StLouIX, Defunct, IPv4, Unicast, Unknown, 198.32.132.0/24, 0
353, ABX, Planned, IPv4, Multicast, Unknown, 198.32.7.0/24, 0
354, Texas GigaPOP, Active, IPv4, Unicast, Unknown, 198.32.236.0/24, 0
355, Tucson Interconnect, Unknown, IPv4, Unicast, Unknown, , 0
356, TNAP, Unknown, IPv4, Unicast, Unknown, , 0
357, Equinix-VA, Active, IPv4, Unicast, Unknown, 198.32.190.0/24, 0
357, Equinix-VA, Active, IPv4, Unicast, Unknown, 198.32.191.0/24, 0
357, Equinix-VA, Active, IPv4, Multicast, Unknown, 198.32.192.0/24, 0
358, MAE-East, Defunct, IPv4, Unicast, Unknown, 192.41.177.0/24, 0
358, MAE-East, Defunct, IPv4, Unicast, Unknown, 198.32.186.0/24, 0
359, MAE-East-ATM, Defunct, IPv4, Unicast, Unknown, 198.32.187.0/24, 0
360, NeutralNAP, Defunct, IPv4, , Unknown, 198.32.250.0/24, 0
361, VNIX, Active, IPv4, Unicast, Unknown, , 17
362, VNIX, Active, IPv4, Unicast, Unknown, 218.100.10.0/24, 17
363, VNIX, Active, IPv4, Unicast, Unknown, 218.100.14.0/24, 17
364, ZINX, Active, IPv4, Unicast, Unknown, , 5
367, BINX, Active, IPv4, Unicast, Unknown, , 13
369, SFMIX, Active, IPv4, Unicast, Unknown, 206.197.187.0/24, 52
373, Any2, Active, IPv4, Unicast, None, 206.223.143.0/24, 449
373, Any2, Unknown, IPv4, , Unknown, , 0
373, Any2, Active, IPv4, , Available, 206.72.210.0/23, 0
387, PIPE Adelaide, Active, IPv4, , Available, 218.100.3.0/24, 13
388, PIPE Hobart, Active, IPv4, Unicast, Available, 218.100.12.0/24, 1
389, PIPE Melbourne, Active, IPv4, Unicast, Available, 218.100.13.0/24, 32
400, PIPE Canberra, Active, IPv4, , Available, 218.100.19.0/24, 2
402, PIPE Sydney, Active, IPv4, , Available, 218.100.2.0/24, 173
415, PTT Rio de Janeiro, Active, IPv4, Unicast, Unknown, , 108
464, Equinix Singapore, Active, IPv4, Unicast, None, 202.79.197.0/24, 74
467, Equinix LA, Active, IPv4, , None, 206.223.123.0/24, 0
467, Equinix LA, Deprecated, IPv4, Unicast, Unknown, 206.223.142.0/24, 0
479, KINIX, Active, IPv4, Unicast, None, , 9
491, TampaIX, Unknown, IPv4, Unicast, None, 198.32.198.0/24, 4
499, , Unknown, IPv4, Unicast, Unknown, , 0
504, Marseille Internet Exchange, Active, IPv4, , Unknown, 85.31.223.0/24, 0
506, TIX, Active, IPv4, Unicast, Unknown, , 31
508, Fr-IX, Active, IPv4, Unicast, None, , 38
509, PLIX, Active, IPv4, Unicast, Unknown, 195.182.218.0/23, 278
513, SViX, Defunct, IPv4, Unicast, None, , 2
516, KRS-IX, Active, IPv4, Unicast, Unknown, 217.117.187.0/24, 50
531, SovEx, Defunct, IPv4, , None, , 25
532, RBIEX, Defunct, IPv4, , Mandatory, , 6
532, RBIEX, Defunct, IPv4, , Mandatory, 193.25.170.0/23, 23
534, Chelyabinsk PP, Unknown, IPv4, Unicast, Unknown, , 12
539, PhOpenIX, Active, IPv4, Unicast, None, 198.32.172.0/24, 27
545, IXP-ANG, Planned, IPv4, , Unknown, 196.223.1.0/24, 0
546, BurundiX, Active, IPv4, Unicast, Available, 196.223.36.0/24, 1
547, Zambia IXP, Active, IPv4, , Mandatory, 196.223.2.0/24, 13
550, EarthNAP, Not an exchange, IPv4, , Unknown, , 0
556, KleyRex, Active, IPv4, Unicast, Unknown, 193.189.82.0/23, 138
559, TLLIX, Active, IPv4, , Unknown, 195.137.179.0/24, 17
564, MCIX, Unknown, IPv4, Unicast, Unknown, , 14
572, NL-ix, Active, IPv4, Multicast, Unknown, 194.246.39.224/27, 0
572, NL-ix, Active, IPv4, Unicast, Available, 193.239.116.0/23, 547
573, RIX-GH, Unknown, IPv4, Unicast, None, 194.153.159.192/26, 14
574, SitelIX, Defunct, IPv4, Unicast, Unknown, 194.30.187.0/24, 22
583, IX.PR, Active, IPv4, , Available, 134.202.255.0/24, 2
586, DMIX, Active, IPv4, , Unknown, 206.223.126.0/24, 4
587, PIX, Active, IPv4, , Unknown, 206.223.127.0/24, 0
589, North Texas GigaPOP, Active, IPv4, , Unknown, , 7
592, DRFxchange, Active, IPv4, Unicast, Unknown, 206.197.210.0/24, 14
593, MEIX, Active, IPv4, , None, 196.223.7.0/24, 10
597, MEEP, Unknown, IPv4, Unicast, Unknown, , 0
599, DH-IX, Defunct, IPv4, , Unknown, , 2
601, MyIX, Active, IPv4, , Mandatory, 218.100.44.0/24, 23
606, AIXP, Active, IPv4, Unicast, Unknown, 196.223.6.0/25, 6
606, AIXP, Defunct, IPv4, Unicast, Unknown, 198.32.179.192/27, 0
606, AIXP, Defunct, IPv4, Unicast, Unknown, 198.32.179.192/27, 0
612, CBIX, Defunct, IPv4, Unicast, Unknown, 195.60.89.0/25, 7
613, NFXzspo, Active, IPv4, Unicast, Unknown, 81.201.48.192/26, 19
616, IXPN - Lagos, Active, IPv4, Unicast, Mandatory, 196.216.148.0/24, 30
621, IXSAL, Planned, IPv4, , None, 200.0.18.0/24, 0
623, NWIX Helena, Unknown, IPv4, Unicast, None, 69.51.84.0/25, 3
624, NWIX Missoula, Unknown, IPv4, Unicast, None, 69.51.84.128/25, 2
625, PhxIX, Unknown, IPv4, , Unknown, , 0
626, MerieX, Defunct, IPv4, , Unknown, 195.60.84.128/25, 20
627, STHIX, Active, IPv4, Unicast, None, 194.50.181.128/25, 91
628, POUIX, Defunct, IPv4, Unicast, Available, 80.67.175.0/24, 33
629, FNIX6, Active, IPv4, Unicast, None, 195.140.149.128/25, 16
630, KCIX, Active, IPv4, Unicast, Unknown, 206.51.7.0/25, 26
655, TexasSEGP, Not an exchange, IPv4, , Unknown, , 0
693, BeirutIX, Active, IPv4, Unicast, Available, 198.32.157.0/24, 5
699, CI-IXP, Defunct, IPv4, Unicast, Unknown, 196.223.4.128/26, 5
703, YRIX, Active, IPv4, Unicast, Unknown, , 8
704, ENLIX, Defunct, IPv4, Unicast, Unknown, 193.189.129.0/22, 4
705, S-IX, Active, IPv4, Unicast, Unknown, 193.138.31.0/24, 22
712, EuroGIX, Active, IPv4, Unicast, Available, 185.1.14.0/24, 6
716, HHCIX, Defunct, IPv4, Unicast, Unknown, , 13
717, fraNAP, Active, IPv4, Unicast, Unknown, , 10
718, MANDA, Unknown, IPv4, Unicast, Unknown, , 0
723, CIX, Active, IPv4, Unicast, Unknown, , 52
725, WRIX, Active, IPv4, Unicast, Unknown, , 8
739, BSIX, Active, IPv4, , Unknown, 198.32.167.0/24, 0
748, AUSIX.net, Unknown, IPv4, Unicast, Unknown, , 0
765, RINEX, Active, IPv4, Unicast, None, 196.223.12.0/24, 9
767, FIXO, Active, IPv4, Unicast, Unknown, 91.198.176.0/24, 55
803, R_iX, Active, IPv4, Unicast, Unknown, , 63
804, InterLAN-IX, Active, IPv4, Unicast, Unknown, 86.104.125.0/24, 56
805, NW-IX, Unknown, IPv4, , Unknown, , 0
807, , Unknown, IPv4, , Unknown, , 0
834, Equinix Hong Kong, Active, IPv4, , Unknown, 119.27.63.0/24, 0
838, GEIX, Defunct, IPv4, Unicast, Unknown, 80.67.163.0/24, 8
864, GIX, Active, IPv4, Unicast, Unknown, 194.165.32.0/24, 15
879, IXOR, Active, IPv4, Unicast, Unknown, 193.243.183.64/26, 24
879, IXOR, Deprecated, IPv4, Unicast, Unknown, 193.243.183.64/26, 11
880, TIX, Active, IPv4, , Unknown, , 7
881, ECIX LEI, Planned, IPv4, , Unknown, , 0
890, UNION IXP, Unknown, IPv4, , Unknown, , 0
894, JPNAP Tokyo II, Active, IPv4, Unicast, Unknown, , 4
897, DN-IX, Active, IPv4, Unicast, Available, 193.34.203.0/24, 12
898,  KD-X, Not an exchange, IPv4, , Unknown, , 0
907, BIX, Active, IPv4, Unicast, Unknown, 218.100.41.0/24, 18
909, NMIX, Active, IPv4, , Unknown, , 0
917, PIX, Active, IPv4, Unicast, Unknown, , 82
918, Thinx IX, Active, IPv4, Unicast, Available, 212.91.0.0/22, 165
923, , Unknown, IPv4, , Unknown, , 3
925, ChIX, Unknown, IPv4, Unicast, Available, 206.51.33.0/24, 11
926, LIPTAM, Active, IPv4, , Unknown, , 24
928, CoreSite - Any2, Active, IPv4, , Unknown, 206.51.43.0/24, 7
932, AO-IXP, Active, IPv4, Unicast, Available, 196.223.1.0/24, 10
932, AO-IXP, Unknown, IPv4, , Unknown, , 0
933, OD-IX, Active, IPv4, Unicast, Unknown, 194.107.117.0/24, 26
946, TIE Phoenix, Active, IPv4, Unicast, Available, 198.32.186.0/24	, 12
970, L9-IX, Unknown, IPv4, , Unknown, , 0
971, CNC Beijing NAP, Unknown, IPv4, , Unknown, 202.97.10.0/24, 0
972, CBN NETWORKS, Unknown, IPv4, , Unknown, , 0
973, PhibIX, Defunct, IPv4, Unicast, Unknown, 78.41.189.128/26, 2
974, PIX Toronto, Not an exchange, IPv4, Unicast, Unknown, 206.223.127.0/24, 7
975, PIX Vancouver, Not an exchange, IPv4, Unicast, Unknown, 206.223.127.0/24, 25
978, IX.ks.ua, Unknown, IPv4, Unicast, Unknown, , 8
979, ZPIX, Unknown, IPv4, , Unknown, , 0
982, AIX, Active, IPv4, Unicast, Unknown, 200.0.18.0/24, 9
984, NAP del Caribe, Active, IPv4, , Unknown, , 0
985, NOTA, Unknown, IPv4, Unicast, Unknown, , 14
987, OCIX, Active, IPv4, Unicast, Unknown, 200.0.22.0.0/23, 8
988, AMS-IX Caribbean, Active, IPv4, Unicast, Unknown, 200.0.20.0/24, 13
1006, IX de Bolivia, Defunct, IPv4, , Unknown, , 0
1008, ACT-IX, Active, IPv4, Unicast, Unknown, 218.100.59.0/24, 7
1018, PTT Salvador, Active, IPv4, Unicast, Unknown, , 49
1020, NIXI Bangalore, Active, IPv4, Unicast, Unknown, 180.179.222.68, 8
1021, NIXI Hyderabad, Active, IPv4, Unicast, Unknown, 180.179.222.68, 6
1022, NIXI Ahmedabad, Active, IPv4, Unicast, Unknown, 180.179.222.68, 3
1023, NIXI, Planned, IPv4, , Unknown, , 0
1024, NIXI, Planned, IPv4, , Unknown, , 0
1029, Malawi IXP, Active, IPv4, Unicast, Unknown, 172.30.1.0/24, 36
1044, MSK-IX Vladivostok, Active, IPv4, Unicast, Available, 193.232.136.0/24, 13
1046, MSK-IX Rostov-on-Don, Active, IPv4, Unicast, Unknown, 193.232.140.0/24, 14
1052, ECIX HAM, Active, IPv4, , Available, 193.42.155.0/24, 38
1064, IXSA Riyadh, Active, IPv4, , Unknown, 91.206.135.0/24, 0
1064, IXSA Riyadh, Active, IPv4, , Available, 91.206.134.0/24, 4
1065, GulfIX Bahrain, Active, IPv4, Unicast, Available, 195.82.138.0/23, 3
1076, SIX, Unknown, IPv4, , Unknown, , 0
1077, Mass-IX, Active, IPv4, Unicast, Unknown, 206.53.143.0/24, 28
1088, PTT Londrina, Active, IPv4, Unicast, Unknown, , 27
1089, PTT Fortaleza, Active, IPv4, Unicast, Unknown, , 32
1092, PTT Porto Alegre, Active, IPv4, Unicast, Available, 200.219.143.0/24, 141
1097, Equinix Paris, Active, IPv4, Unicast, Unknown, 195.42.144.0/23, 315
1105, CNIX, Active, IPv4, Unicast, Unknown, 91.213.73.0/24, 14
1108, eXchange West, Active, IPv4, Unicast, Available, 195.60.82.64/26, 5
1109, LNCC, Unknown, IPv4, , Unknown, , 0
1109, LNCC, Unknown, IPv4, , Unknown, , 0
1110, ANSP, Not an exchange, IPv4, Unicast, Unknown, 200.136.37.0/24, 48
1112, , Unknown, IPv4, , Unknown, , 0
1117, BIX, Not an exchange, IPv4, , Unknown, , 0
1124, France-IX, Active, IPv4, Unicast, Available, 37.49.236.0/23, 299
1128, NAP VSIX IPv4, Active, IPv4, Unicast, None, 95.140.128.0/23, 32
1128, NAP VSIX IPv4, Active, IPv6, Unicast, Unknown, 2001:7f8:5f:ffff::/64, 0
1132, FVG-IX, Active, IPv4, Unicast, Unknown, 82.193.63.0/24, 11
1134, ULN-IX, Active, IPv4, Unicast, Unknown, 185.1.19.0/26, 17
1137, BIX.BG, Active, IPv4, Unicast, Available, 193.169.198.0/23, 66
1149, TIE New York, Active, IPv4, Unicast, Unknown, 206.126.115.0/24, 76
1187, IST-IX, Active, IPv4, , Unknown, 198.32.120.0/24, 8
1194, Balkan-IX, Active, IPv4, Unicast, Unknown, 217.174.157.0/24, 20
1194, Balkan-IX, Active, IPv4, Unicast, Unknown, 185.1.30.0/24, 41
1195, PIX Montreal, Not an exchange, IPv4, Unicast, Unknown, 206.223.127.0/24, 0
1198, NAP CABASE Neuquén, Active, IPv4, Unicast, Unknown, 200.0.19.0/24, 17
1199, PTT Campinas, Active, IPv4, Unicast, Unknown, , 36
1200, PTT Recife, Active, IPv4, Unicast, Unknown, , 24
1206, TIE Dallas, Active, IPv4, Unicast, Available, 206.126.114.0/24	, 7
1207, AMS-IX East Africa, Defunct, IPv4, Unicast, Unknown, , 3
1223, MSK-IX Kazan, Active, IPv4, Unicast, Unknown, 194.190.119.0/24, 10
1225, AAIX, Active, IPv4, Unicast, Unknown, 193.37.144.0/24, 12
1230, Touix, Active, IPv4, , Unknown, 91.213.236.0/24, 11
1231, SaintetIX, Defunct, IPv4, Unicast, Unknown, , 2
1232, IXLeeds, Active, IPv4, Unicast, Unknown, 91.234.18.0/24, 2
1232, IXLeeds, Active, IPv4, Unicast, Unknown, 91.217.231.0/24, 16
1233, MiNAP, Active, IPv4, Unicast, Unknown, 92.60.70.0/24, 15
1234, LU-CIX, Active, IPv4, Unicast, Unknown, 188.93.170.0/23, 71
1236, SMILE, Active, IPv4, Unicast, Available, 195.246.227.0/24, 29
1237, MD-IX, Not an exchange, IPv4, Unicast, Unknown, , 0
1238, LIX - Poland, Active, IPv4, Unicast, Unknown, , 17
1240, DTEL-IX, Unknown, IPv4, Both, Unknown, , 0
1240, DTEL-IX, Active, IPv4, Unicast, Unknown, 193.25.180.255/23, 121
1241, Crimea-IX, Active, IPv4, Unicast, Unknown, 193.34.200.0/24, 21
1261, COPHIX, Defunct, IPv4, Unicast, Unknown, 194.117.52.0/24, 29
1263, MCIX, Deprecated, IPv4, Unicast, Unknown, 119.110.115.0/24, 0
1263, MCIX, Deprecated, IPv4, Unicast, Unknown, 119.110.118.0/24, 0
1263, MCIX, Deprecated, IPv4, Unicast, Unknown, 119.110.116.0/23, 0
1263, MCIX, Active, IPv4, Unicast, Unknown, 119.110.117.0/24, 70
1264, HIX, Active, IPv4, Unicast, Available, 218.100.56.0/24, 2
1265, MICE, Active, IPv4, Unicast, Available, 69.147.218.0/24, 39
1267, GU-IX, Active, IPv4, Unicast, Unknown, 202.128.12.0/26, 3
1269, DataIX, Active, IPv4, Unicast, Unknown, , 40
1270, DataIX Moscow, Active, IPv4, Unicast, Unknown, , 39
1271, DE-CIX Munich, Active, IPv4, Unicast, Unknown, , 27
1272, SGIX, Active, IPv4, Unicast, Unknown, 103.16.102.0/23, 62
1274, PTT Metro Americana, Unknown, IPv4, Unicast, Unknown, , 12
1275, PTT Campina Grande, Active, IPv4, Unicast, Unknown, , 17
1276, PTT Goiânia, Active, IPv4, Unicast, Unknown, , 23
1283, LANIC, Active, IPv4, , Unknown, 172.16.96.0/24, 7
1283, LANIC, Active, IPv4, , Unknown, 172.16.97.0/24, 0
1285, ZPIX, Active, IPv4, , Available, 218.100.85.0/24, 4
1288, AZIX, Active, IPv4, Unicast, Unknown, 206.223.120.0/24, 7
1297, GREX, Active, IPv4, Unicast, None, 206.126.224/24, 6
1299, BVI IXP, Planned, IPv4, Unicast, Unknown, , 0
1306, NAPAfrica, Active, IPv4, Unicast, Unknown, , 259
1308, NAPAfrica, Active, IPv4, Unicast, Unknown, 196.10.140.0/24, 12
1312, SIXP, Active, IPv4, Unicast, Mandatory, , 7
1316, MBIX, Active, IPv4, Unicast, Unknown, 206.72.208.0/24, 22
1317, JXIX, Active, IPv4, Unicast, Unknown, 206.123.7.0/24, 9
1319, ASM-IX HK, Active, IPv4, Unicast, Available, 103.247.139.0/24, 28
1332, IXManchester, Active, IPv4, Unicast, Unknown, 195.66.244.0/24, 72
1341, UAE-IX, Active, IPv4, Unicast, Available, 185.1.8.0/24, 50
1348, Boston IX, Active, IPv4, Unicast, None, 206.108.236.0/24, 48
1350, SOX, Active, IPv4, Unicast, Unknown, , 21
1362, DINX, Active, IPv4, Unicast, Unknown, 196.223.30.0/24, 6
1364, DANIX, Active, IPv4, Unicast, Unknown, 10.1.2.0/24, 6
1365, RTIX, Active, IPv4, Unicast, Unknown, 213.184.52.0/24, 7
1367, VIX, Active, IPv4, Unicast, Available, 103.25.229.0/24, 6
1373, GrenoblIX, Active, IPv4, Unicast, Unknown, 77.95.71.0/24, 7
1375, ADNIX, Defunct, IPv4, Unicast, Available, 77.95.71.0/24, 2
1383, Saratov-IX, Active, IPv4, , Unknown, , 12
1384, MSK-IX Stavropol, Active, IPv4, Unicast, Unknown, 194.85.177.0/24, 8
1385, Balcan-IX, Active, IPv4, Unicast, Unknown, 80.97.248.0/24, 24
1403, NAP CABASE Bahía Blanca, Active, IPv4, Unicast, Unknown, 200.14.37.0 /24, 15
1404, NAP CABASE Córdoba, Active, IPv4, Unicast, Unknown, 200.14.75.0/24, 22
1405, NAP CABASE De la Costa, Active, IPv4, Unicast, Unknown, 200.14.39.0 /24, 8
1406, NAP CABASE La Plata, Active, IPv4, Unicast, Unknown, 200.115.81.0 /24, 13
1407, NAP CABASE Mar del Plata, Active, IPv4, Unicast, Unknown, 200.115.82.0 /24, 10
1407, NAP CABASE Mar del Plata, Unknown, IPv4, Unicast, Unknown, 2001:13c7:6012::/48, 0
1408, NAP CABASE Mendoza, Active, IPv4, Unicast, Unknown, 200.14.38.0 /24, 13
1409, NAP CABASE Rosario, Active, IPv4, Unicast, Unknown, 200.13.83.0 /24, 17
1410, NAP CABASE Santa Fe, Active, IPv4, Unicast, Unknown, 200.14.74.0 /24, 6
1440, PTT Belém, Active, IPv4, Unicast, Unknown, , 16
1441, PTT Caxias do Sul, Active, IPv4, Unicast, Unknown, , 5
1442, PTT Manaus, Active, IPv4, Unicast, Unknown, , 10
1443, PTT Natal, Active, IPv4, Unicast, Unknown, , 14
1444, PTT São José dos Campos, Active, IPv4, Unicast, Unknown, , 13
1445, PTT São José do Rio Preto, Active, IPv4, Unicast, Unknown, , 11
1446, PTT Vitória, Active, IPv4, Unicast, Unknown, , 25
1461, YYCIX, Active, IPv4, Unicast, None, 206.126.225.0/24, 25
1472, QLD-IX, Active, IPv4, Unicast, Unknown, 218.100.78.0/24, 30
1473, SA-IX, Active, IPv4, Unicast, Available, 218.100.54.0/25, 12
1474, TunIXP Tunis, Deprecated, IPv4, Unicast, Unknown, 193.95.96.0/24, 9
1474, TunIXP Tunis, Deprecated, IPv4, Unicast, Unknown, 193.95.19.0/24, 5
1474, TunIXP Tunis, Deprecated, IPv4, Unicast, Unknown, 193.95.66.0/24, 1
1474, TunIXP Tunis, Deprecated, IPv4, Unicast, Unknown, 193.95.0.0/24, 0
1474, TunIXP Tunis, Deprecated, IPv4, Unicast, Unknown, 193.95.1.0/24, 0
1474, TunIXP Tunis, Active, IPv4, Unicast, Unknown, 41.231.21.0/24, 15
1484, Phoenix-IX, Active, IPv4, Unicast, Available, 208.157.218.0/24, 41
1484, Phoenix-IX, Active, IPv4, Unicast, Available, 206.41.105.0/24, 0
1499, ARMIX, Active, IPv4, Unicast, Unknown, 91.218.4.0/24, 9
1506, NIX2, Active, IPv4, Unicast, Unknown, 193.156.120.0/24, 61
1507, BIX, Active, IPv4, Unicast, Unknown, 193.156.125.0/24, 12
1508, TRDIX, Active, IPv4, Unicast, Unknown, 193.156.93.0/24, 12
1511, SIX, Unknown, IPv4, Unicast, Unknown, , 0
1512, TIX, Unknown, IPv4, Unicast, Unknown, , 0
1515, FICIX3, Active, IPv4, Unicast, Unknown, 193.110.225.0/24, 29
1516, FICIX1, Active, IPv4, Unicast, Unknown, 193.110.226.0/24, 23
1521, SIX Koice, Active, IPv4, Unicast, Unknown, 192.108.145.0/24, 3
1526, HTN-CIX, Active, IPv4, Unicast, Unknown, , 9
1530, IX-LAPAZ, Active, IPv4, Both, Available, 200.75.174.0/24, 4
1540, WPGIX, Active, IPv4, Unicast, Available, 206.126.109.0/24, 25
1541, CG-IX, Active, IPv4, Unicast, Unknown, , 7
1544, PIE, Planned, IPv4, , Unknown, , 0
1546, NEX-IX, Active, IPv4, Unicast, Unknown, 218.100.72.0/23, 22
1548, Cyberplus, Planned, IPv4, , Unknown, , 0
1549, IIX JI, Active, IPv4, , Unknown, , 11
1550, Open IXP, Active, IPv4, Unicast, Unknown, 218.100.27.0/24, 17
1553, BNIIX, Active, IPv4, , Unknown, 206.130.61.0/24, 8
1554, GTIIX, Not an exchange, IPv4, , Unknown, 206.123.0.0/24, 10
1555, GCIIX, Active, IPv4, , Unknown, 206.123.30.0/24, 2
1575, , Planned, IPv4, , Unknown, , 0
1576, LITIX, Active, IPv4, Unicast, Unknown, , 5
1585, NSW-IX, Active, IPv4, Unicast, Available, 218.100.52.0/24, 148
1587, MIX NDC, Planned, IPv4, , Unknown, , 0
1588, Giganet, Active, IPv4, Unicast, Unknown, 91.245.221.0/24, 89
1608, , Planned, IPv4, , Unknown, , 0
1611, Edge-IX, Defunct, IPv4, Unicast, Unknown, 212.121.32.0/19, 36
1616, QIX, Active, IPv4, Unicast, Available, 198.179.18.0/24, 48
1623, NetIX, Active, IPv4, Unicast, Available, 193.218.0.0/24, 91
1636, TPIX, Active, IPv4, Unicast, Available, 195.149.232.0/23, 131
1645, KIX, Active, IPv4, Unicast, Unknown, , 11
1656, France-IX Marseille, Active, IPv4, Unicast, Unknown, 37.249.232.0/26, 299
1658, FR-IX 75, Active, IPv4, Unicast, Available, 91.216.67.0/24, 13
1663, ECIX Frankfurt, Active, IPv4, Unicast, Unknown, 62.69.146.0/23, 155
1667, OCIX Düsseldorf, Active, IPv4, Unicast, Unknown, 194.54.92.0/25, 30
1669, AlbertaIX, Active, IPv4, Unicast, Available, 206.130.0.0/24, 3
1670, OCIX Frankfurt, Active, IPv4, Unicast, Unknown, 194.54.93.0/25, 30
1678, LINX NoVa, Active, IPv4, Unicast, Available, 206.55.196.0.23, 21
1680, SOAX, Active, IPv4, , Unknown, , 5
1683, , Not an exchange, IPv4, , Unknown, , 5
1693, Halifax IXP, Active, IPv4, Unicast, Available, 206.130.15.0/24, 12
1701, IXScotland, Active, IPv4, Unicast, Unknown, 195.66.246.0/23, 18
1702, KOSIX, Active, IPv4, Unicast, Unknown, , 4
1705, NIXA, Planned, IPv4, , Unknown, , 0
1707, TIXP, Defunct, IPv4, , Unknown, , 4
1708, AlgIX, Planned, IPv4, , Unknown, , 0
1709, TAS-IX, Active, IPv4, , Unknown, , 36
1710, Azerbaijan Internet exchange, Not an exchange, IPv4, , Unknown, , 0
1719, Coresite - Any 2, Active, IPv4, , Available, 206.51.42.0/24, 0
1720, Coresite - Any 2, Active, IPv4, , Available, 206.51.46.0/24, 32
1721, Coresite - Any 2, Active, IPv4, , Available, 206.51.44.0/24, 0
1722, Coresite - Any 2, Active, IPv4, , Available, 206.51.45.0/24, 0
1723, Coresite - Any 2, Active, IPv4, , Available, 206.51.40.0/24, 30
1724, Coresite - Any 2, Active, IPv4, , Available, 206.51.41.0/24, 50
1758, Peering.cz, Active, IPv4, Unicast, Available, 91.213.211.0/24, 91
1778, DE-CIX NYC, Active, IPv4, Unicast, Unknown, , 28
1781, COMIX, Active, IPv4, Both, Available, 195.69.117.0/24, 40
1782, SLiX, Planned, IPv4, Unicast, Unknown, , 0
1783, PIX, Active, IPv4, Unicast, Available, 185.1.1.0/24, 9
1784, WHKIX, Active, IPv4, Unicast, None, 196.223.35.0/24, 5
1789, PIT Bolivia, Active, IPv4, Unicast, Unknown, 179.0.30/24, 6
1790, Reunix, Active, IPv4, Both, Unknown, 194.57.253.128/27, 10
1791, Mayotix, Active, IPv4, Both, Unknown, , 0
1792, Guyanix, Active, IPv4, Unicast, Unknown, , 0
1795, COIX, Active, IPv4, Unicast, Unknown, 206.197.131.11/24, 4
1801, CIVIX, Active, IPv4, Unicast, None, 196.223.4.0/24, 6
1802, VANIX, Active, IPv4, Unicast, Unknown, 206.41.104.0/24, 52
1803, TTIX, Active, IPv4, Unicast, Unknown, 181.188.0.240/28, 7
1804, MB-IX, Not an exchange, IPv4, Unicast, Unknown, , 3
1805, TuniXP Enfidha, Active, IPv4, Unicast, Unknown, 41.231.34.0/26, 0
1806, IXP Costa Rica, Active, IPv4, Unicast, Available, 200.107.83.128/25, 21
1807, PTT Cuiabá, Active, IPv4, Unicast, Unknown, , 13
1808, PTT Lajeado, Active, IPv4, Unicast, Unknown, , 13
1809, PTT Central Paulista , Active, IPv4, Unicast, Unknown, 187.16.200.0/24, 4
1810, AMS-IX New York, Active, IPv4, Unicast, Unknown, , 13
1811, SIXP, Active, IPv4, Unicast, Available, 196.223.34.0/24, 14
1813, IXCardiff, Active, IPv4, Unicast, Unknown, , 31
1814, JAIXP, Active, IPv4, Unicast, None, 206.41.107.0/24, 0
1815, OuestIX, Active, IPv4, Unicast, Unknown, , 10
1816, MKEIX, Active, IPv4, Unicast, None, 204.107.122.0/25, 14
1817, NAP CABASE La Matanza, Planned, IPv4, Unicast, Unknown, , 0
1818, NAP CABASE Corrientes, Planned, IPv4, Unicast, Unknown, , 0
1819, NAP CABASE Resistencia, Planned, IPv4, Unicast, Unknown, , 0
